脚の長さ,本体の長さ,羽の長さ,幅,脚の重ね,脚の止め方,糸,羽の形,Y
12,2.5,5,8,1,clip,有り,普通,
8,2,10,6,3,clip,有り,根本切る,
8,2,10,6,3,セロテープ,無し,普通,
12,1.5,15,8,1,clip,有り,普通,
4,2.5,5,4,3,clip,有り,普通,
8,2.5,15,8,5,clip,有り,根本切る,
12,2.5,5,8,5,セロテープ,無し,根本切る,
4,2.5,10,8,1,セロテープ,有り,根本切る,
4,1.5,5,8,1,clip,無し,根本切る,
12,2,5,4,1,セロテープ,有り,根本切る,
4,1.5,15,4,5,セロテープ,無し,根本切る,
12,2.5,15,4,1,clip,無し,根本切る,
4,2.5,15,6,1,セロテープ,無し,普通,
12,2.5,15,4,5,セロテープ,有り,普通,
12,1.5,15,8,3,セロテープ,無し,根本切る,
8,1.5,5,4,1,セロテープ,無し,普通,
12,1.5,5,6,5,clip,有り,根本切る,
4,1.5,15,4,1,clip,有り,普通,
4,2.5,5,4,5,セロテープ,無し,根本切る,
12,1.5,10,4,5,clip,無し,普通,
4,1.5,5,8,5,セロテープ,有り,普通,
4,2,15,8,5,clip,無し,普通,
