,time,pod,body,wing,width,thickness,fixation,thread,shape
1,8.0,1,1,-1,1,-1,-1,-1,-1
2,5.556,0,0,0,0,0,-1,-1,1
3,8.66,0,0,0,0,0,1,1,-1
4,4.62,1,-1,1,1,-1,-1,-1,-1
5,3.62,-1,1,-1,-1,0,-1,-1,-1
6,2.19,0,1,1,1,1,-1,-1,1
7,3.34,1,1,-1,1,1,1,1,1
8,4.72,-1,1,0,1,-1,1,-1,1
9,4.97,-1,-1,-1,1,-1,-1,1,1
10,4.09,1,0,-1,-1,-1,1,-1,1
11,3.97,-1,-1,1,-1,1,1,1,1
12,3.15,1,1,1,-1,-1,-1,1,1
13,5.85,-1,1,1,0,-1,1,1,-1
14,3.93,1,1,1,-1,1,1,-1,-1
15,4.47,1,-1,1,1,0,1,1,1
16,4.65,0,-1,-1,-1,-1,1,1,-1
17,3.32,1,-1,-1,0,1,-1,-1,1
18,2.66,-1,-1,1,-1,-1,-1,-1,-1
19,5.47,-1,1,-1,-1,1,1,1,1
20,7.28,1,-1,0,-1,1,-1,1,-1
21,4.03,-1,-1,-1,1,1,1,-1,-1
22,3.47,-1,0,1,1,1,-1,1,-1
