,time,pod,body,wing,width,thickness,fixation,thread,shape
1,8.0,12,2.5,5,8,1,-1,-1,-1
2,5.556,8,2.0,10,6,3,-1,-1,1
3,8.66,8,2.0,10,6,3,1,1,-1
4,4.62,12,1.5,15,8,1,-1,-1,-1
5,3.62,4,2.5,5,4,3,-1,-1,-1
6,2.19,8,2.5,15,8,5,-1,-1,1
7,3.34,12,2.5,5,8,5,1,1,1
8,4.72,4,2.5,10,8,1,1,-1,1
9,4.97,4,1.5,5,8,1,-1,1,1
10,4.09,12,2.0,5,4,1,1,-1,1
11,3.97,4,1.5,15,4,5,1,1,1
12,3.15,12,2.5,15,4,1,-1,1,1
13,5.85,4,2.5,15,6,1,1,1,-1
14,3.93,12,2.5,15,4,5,1,-1,-1
15,4.47,12,1.5,15,8,3,1,1,1
16,4.65,8,1.5,5,4,1,1,1,-1
17,3.32,12,1.5,5,6,5,-1,-1,1
18,2.66,4,1.5,15,4,1,-1,-1,-1
19,5.47,4,2.5,5,4,5,1,1,1
20,7.28,12,1.5,10,4,5,-1,1,-1
21,4.03,4,1.5,5,8,5,1,-1,-1
22,3.47,4,2.0,15,8,5,-1,1,-1
