,time,size,n_clip
0,5.94,2.0,0.0
1,5.41,2.0,2.0
2,4.09,2.0,4.0
3,5.75,2.5,0.0
4,4.94,2.5,2.0
5,4.68,2.5,4.0
6,5.65,2.97,0.0
7,3.69,2.97,2.0
8,3.63,2.97,4.0
9,5.44,2.0,0.0
10,4.85,2.0,2.0
11,4.41,2.0,4.0
12,5.41,2.5,0.0
13,4.82,2.5,2.0
14,3.34,2.5,4.0
15,5.0,2.97,0.0
16,2.03,2.97,2.0
17,1.97,2.97,4.0
18,6.25,2.0,0.0
19,4.88,2.0,2.0
20,3.15,2.0,4.0
21,6.41,2.5,0.0
22,4.56,2.5,2.0
23,3.85,2.5,4.0
24,5.69,2.97,0.0
25,3.25,2.97,2.0
26,3.28,2.97,4.0
27,6.32,2.0,0.0
28,4.78,2.0,2.0
29,3.84,2.0,4.0
30,6.09,2.5,0.0
31,4.48,2.5,2.0
32,4.0,2.5,4.0
33,4.46,2.97,0.0
34,2.44,2.97,2.0
35,3.68,2.97,4.0
36,5.39,2.0,0.0
37,4.66,2.0,2.0
38,3.63,2.0,4.0
39,5.87,2.5,0.0
40,4.47,2.5,2.0
41,3.75,2.5,4.0
42,4.81,2.97,0.0
43,2.65,2.97,2.0
44,2.22,2.97,4.0
